what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to retrieve platform for C:\\RailsInstaller\\Ruby1.9.3",1392454179091
error,log,,,"Failed to retrieve platform for C:\\RailsInstaller\\Ruby1.9.3",1392454179141
error,log,,,"Failed to retrieve platform for C:\\RailsInstaller\\Ruby1.9.3",1392454179191
started,bundle,com.aptana.ide.server.core,2.0.0.1278523018,"com.aptana.ide.server.core",1392454179491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454207823
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454208643
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454208743
closed,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1392454211755
opened,view,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui.RubyExplorer",1392454227451
activated,view,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui.RubyExplorer",1392454227491
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1392454227491
started,bundle,com.aptana.ide.core.epl,2.0.0.1278614541,"com.aptana.ide.core.epl",1392454227881
started,bundle,com.aptana.ide.core.io,2.0.5.1278614541,"com.aptana.ide.core.io",1392454227911
started,bundle,com.aptana.ide.syncing.core,2.0.5.1278614541,"com.aptana.ide.syncing.core",1392454227921
started,bundle,com.aptana.ide.syncing.ui,2.0.5.1278614541,"com.aptana.ide.syncing.ui",1392454227921
activated,editor,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui.EditorRubyFile",1392454233213
activated,view,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui.RubyExplorer",1392454235623
closed,editor,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui.EditorRubyFile",1392454235623
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454238875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454252921
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1392454252921
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,"com.android.ide.eclipse.ddms",1392454255211
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1392454255651
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1392454255651
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1392454255681
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1392454255811
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1392454255821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454259333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454843903
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454876267
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454939551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454954817
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454984159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392454988951
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392455366323
opened,editor,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui.EditorRubyFile",1392455375007
activated,editor,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui.EditorRubyFile",1392455375067
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392455397127
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392455402109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1392455404429
